都道府県名,市区町村名,開設局数
兵庫県,赤穂市,0
兵庫県,西脇市,0
兵庫県,宝塚市,0
兵庫県,三木市,0
兵庫県,高砂市,0
兵庫県,川西市,0
兵庫県,小野市,0
兵庫県,三田市,0
兵庫県,加西市,0
兵庫県,丹波篠山市,0
兵庫県,養父市,0
兵庫県,丹波市,0
兵庫県,南あわじ市,0
兵庫県,朝来市,0
兵庫県,淡路市,0
兵庫県,宍粟市,0
兵庫県,加東市,0
兵庫県,たつの市,0
兵庫県,川辺郡猪名川町,0
兵庫県,多可郡多可町,0
兵庫県,加古郡稲美町,0
兵庫県,加古郡播磨町,0
兵庫県,神崎郡市川町,0
兵庫県,神崎郡福崎町,0
兵庫県,神崎郡神河町,0
兵庫県,揖保郡太子町,0
兵庫県,赤穂郡上郡町,0
兵庫県,佐用郡佐用町,0
兵庫県,美方郡香美町,0
兵庫県,美方郡新温泉町,0
奈良県,奈良県,340
奈良県,奈良市,0
奈良県,大和高田市,0
奈良県,大和郡山市,0
奈良県,天理市,0
奈良県,橿原市,0
奈良県,桜井市,0
奈良県,五條市,0
奈良県,御所市,0
奈良県,生駒市,0
奈良県,香芝市,0
奈良県,葛城市,0
奈良県,宇陀市,0
奈良県,山辺郡山添村,0
奈良県,生駒郡平群町,0
奈良県,生駒郡三郷町,0
奈良県,生駒郡斑鳩町,0
奈良県,生駒郡安堵町,0
奈良県,磯城郡川西町,0
奈良県,磯城郡三宅町,0
奈良県,磯城郡田原本町,0
奈良県,宇陀郡曽爾村,0
奈良県,宇陀郡御杖村,0
奈良県,高市郡高取町,0
奈良県,高市郡明日香村,0
奈良県,北葛城郡上牧町,0
奈良県,北葛城郡王寺町,0
奈良県,北葛城郡広陵町,0
奈良県,北葛城郡河合町,0
奈良県,吉野郡吉野町,0
奈良県,吉野郡大淀町,0
奈良県,吉野郡下市町,0
奈良県,吉野郡黒滝村,0
奈良県,吉野郡天川村,0
奈良県,吉野郡野迫川村,0
奈良県,吉野郡十津川村,0
奈良県,吉野郡下北山村,0
奈良県,吉野郡上北山村,0
奈良県,吉野郡川上村,0
奈良県,吉野郡東吉野村,0
和歌山県,和歌山県,303
和歌山県,和歌山市,0
和歌山県,海南市,0
和歌山県,橋本市,0
和歌山県,有田市,0
和歌山県,御坊市,0
和歌山県,田辺市,0
和歌山県,新宮市,0
和歌山県,紀の川市,0
和歌山県,岩出市,0
和歌山県,海草郡紀美野町,0
和歌山県,伊都郡かつらぎ町,0
和歌山県,伊都郡九度山町,0
和歌山県,伊都郡高野町,0
和歌山県,有田郡湯浅町,0
和歌山県,有田郡広川町,0
和歌山県,有田郡有田川町,0
和歌山県,日高郡美浜町,0
和歌山県,日高郡日高町,0
和歌山県,日高郡由良町,0
和歌山県,日高郡印南町,0
和歌山県,日高郡みなべ町,0
和歌山県,日高郡日高川町,0
和歌山県,西牟婁郡白浜町,0
和歌山県,西牟婁郡上富田町,0
和歌山県,西牟婁郡すさみ町,0
和歌山県,東牟婁郡那智勝浦町,0
和歌山県,東牟婁郡太地町,0
和歌山県,東牟婁郡古座川町,0
和歌山県,東牟婁郡北山村,0
和歌山県,東牟婁郡串本町,0
